Tamanho,Guloso_Tempo,Guloso_Memoria,Backtracking_Tempo,Backtracking_Memoria
10,0.000028,0.224219,0.000250,7.228906
20,0.000070,0.526563,0.001001,70.239453
30,0.000158,1.425781,0.000573,31.246484
40,0.000103,37.996484,0.001844,169.977734
50,0.000481,798.113574,0.138308,1191.551758
60,0.000366,1024.729150,0.233518,623.433203
70,0.009709,2400.400244,0.445668,1168.792969
80,0.001920,2100.214648,0.699573,4833.781055
90,0.000406,2.331641,0.614269,7831.090820
100,0.002240,1336.854297,1.916133,4542.303125
110,0.036850,6043.255469,2.681984,12946.652344
120,0.003185,1972.315674,5.000725,44604.396094
130,0.027981,2115.005078,1.561866,25292.281250
140,0.000107,2113.670703,0.225042,12547.471094
150,0.014502,5502.994141,12.050954,28275.804688
